reporter,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BRA,133.58956909179688,135.23191833496094,130.93023681640625,130.9290771484375,129.4794158935547,129.16259765625,125.2844467163086,127.262451171875,129.5081024169922,126.480712890625,127.01924896240234,126.15140533447266,125.7508544921875,123.68049621582031,129.08287048339844,125.13685607910156,118.16864013671875,115.92555236816406,115.109130859375,123.80538940429688
BRB,,,198.1787872314453,202.36117553710938,202.73764038085938,202.5540771484375,205.75616455078125,211.33164978027344,216.28053283691406,214.78814697265625,207.4801483154297,203.65679931640625,206.87904357910156,209.17501831054688,213.6822052001953,221.13082885742188,213.10781860351562,211.65518188476562,,
BRN,,,196.80233764648438,199.25047302246094,,,247.27053833007812,246.24069213867188,270.4910888671875,231.38092041015625,,252.00550842285156,,,,,,214.9181365966797,215.74575805664062,
BTN,,,,283.181884765625,299.7581787109375,,,,,,218.5316619873047,209.69992065429688,208.5387725830078,233.92864990234375,222.88233947753906,218.32554626464844,212.1677703857422,220.15235900878906,,
BWA,,,,,,219.97654724121094,234.45774841308594,212.33489990234375,247.01075744628906,226.2776641845703,219.1517333984375,237.5437469482422,184.24314880371094,187.1538848876953,211.9884490966797,158.37318420410156,151.56858825683594,157.56610107421875,160.00701904296875,158.07449340820312
CAF,283.76263427734375,293.349609375,300.049072265625,303.284423828125,311.89129638671875,337.69189453125,333.1392822265625,336.7775573730469,338.3988037109375,303.2969055175781,288.2038879394531,322.4836730957031,307.5220031738281,320.86297607421875,335.5483093261719,329.7149658203125,323.4075622558594,328.2542724609375,357.710205078125,365.350830078125
CAN,80.41143798828125,81.66230010986328,79.21488952636719,77.44690704345703,77.05420684814453,78.78919982910156,79.34207153320312,79.62947082519531,82.61494445800781,83.17105102539062,83.44778442382812,83.37288665771484,84.17864990234375,86.21800994873047,89.10562133789062,87.61085510253906,,,,
CHE,96.36923217773438,97.90878295898438,93.25104522705078,91.68163299560547,89.9381332397461,88.84723663330078,88.1071548461914,87.99848937988281,87.93622589111328,86.55622863769531,85.91969299316406,84.16110229492188,82.44973754882812,93.24516296386719,94.20851135253906,94.32597351074219,90.0185317993164,79.29961395263672,72.51296997070312,79.23089599609375
CHL,127.11011505126953,130.00279235839844,127.56741333007812,128.81588745117188,131.4292449951172,128.45901489257812,125.0726089477539,129.0038604736328,127.08905792236328,121.31867218017578,118.40650939941406,109.44510650634766,106.66007995605469,111.46715545654297,113.74715423583984,109.98056030273438,106.66835021972656,107.44607543945312,109.65692138671875,126.2811050415039
CHN,114.5772933959961,118.1806411743164,115.78875732421875,116.9393310546875,116.6463623046875,112.52305603027344,110.279296875,106.00452423095703,101.24996948242188,97.03755950927734,95.30189514160156,94.82290649414062,93.61920166015625,96.87281036376953,99.04936218261719,95.92510223388672,91.70695495605469,91.80060577392578,90.76484680175781,
